商品名,JAN,Type,希望小売価格,UMAP1,UMAP2,Z_甘味,Z_渋味,Z_酸味,Z_ボディ
ペイ　ドック　カベルネ　ソーヴィニヨン,4935919312448,Red,1450.0,8.390622,5.413983,0.056444714258119706,0.6553030303030303,0.14868024132730012,0.3741602308942886
ペイ　ドック　ピノ　ノワール,4935919312455,Red,1750.0,9.411035,6.240822,0.05943872623416761,0.5151515151515151,0.16538461538461538,0.3284289819297671
コート　ド　ガスコーニュ　ブラン,4935919312813,White,1600.0,5.747599,3.677449,0.06012859074477772,0.14393939393939392,0.6404977375565611,0.1388683005930363
ペイ　ドック　ピノ　ノワール　キュヴェ　ド　ブリュ,4935919312981,Red,1700.0,8.897842,5.6614466,0.08132122851072049,0.5227272727272727,0.12975113122171944,0.3611898879787282
マルベック　ラ　ヴィーニュ　ア　レオンス,4935919314237,Red,2000.0,9.524304,5.5964475,0.059907834101382486,0.8068181818181818,0.2230769230769231,0.42799343667085593
フィトゥ,4935919314473,Red,1800.0,9.47572,5.590076,0.026035486630425778,0.5340909090909091,0.18461538461538463,0.3275512170500622
ヴァントゥー　レ　テール　ルージュ,4935919316262,Red,2000.0,9.896504,5.6474743,0.04746267832997599,0.6249999999999999,0.17307692307692307,0.37853579596967146
ヴァン　ド　ペイ　ド　メディテラネ　ルージュ　グルナッシュ,4935919316392,Red,1700.0,8.241445,4.812697,0.09745026076878502,0.5568181818181818,0.16538461538461538,0.39115533487404885
ビュルル　エスク,4935919318006,Red,1700.0,9.38488,4.97017,0.10436270316509838,0.7386363636363635,0.07884615384615384,0.48987815109476135
ペイ　ドック　ソーヴィニヨン　ブラン,4935919319140,White,1600.0,6.028932,3.285066,0.06335715665443306,0.14393939393939392,0.48898944193061844,0.13865248058008678
ペイ　ドック　マルスラン　セパージュ　ウーブリエ　No.7,4935919319157,Red,1500.0,9.007596,4.9203353,0.05160186539363669,0.6439393939393939,0.24468325791855206,0.3485010887134495
ペイ　ドック　アリカンテ　ブーシェ　セパージュ　ウーブリエ　No.5,4935919319164,Red,1500.0,8.213721,5.7005167,0.06335715665443306,0.6098484848484849,0.12884615384615386,0.36667487847205
ペイ　ドック　カベルネ　ソーヴィニヨン,4935919319171,Red,1800.0,9.544068,6.1308994,0.06473688567565329,0.8636363636363635,0.11353695324283562,0.4561292733743456
シャトー　ムーラン　クーレッシュ,4935919319843,Red,1800.0,9.954945,5.0371337,0.042854383399100415,0.7045454545454546,0.2153846153846154,0.39921026455858616
カステロ　ダルバ　ドウロ　ブランコ,4935919360012,White,1800.0,5.4691267,4.9807644,0.09122768288308175,0.19696969696969696,0.5220965309200605,0.1542618241413749
カステロ　ダルバ　ドウロ　ティント,4935919360036,Red,1800.0,9.126072,5.2390585,0.11311018515963464,0.5984848484848485,0.12692307692307692,0.4253468408622728
